date,sentiment,text
28-04-19 14:37,2,the big five faang stock and sector service is now posted for sunday http theartofchart net amzn aapl fb nflx tsla googl and sector funds ibb iyr xle xle xlf xlk xrt faang
28-04-19 10:48,2,apple ipad ipadair aapl ebay kleinanzeigen de s anzeige appl e ipad air a gb gb weiss silber gelegenheit utm source twitter
28-04-19 9:25,4,xlu back in range mild bullish bias best to watch and better long above close trading daytrading options stocks optionstrading nq amzn ym dow cl ng aapl faang spx es iwm rty spy pic twitter com bp dza t c
27-04-19 23:30,2,aapl apple
27-04-19 22:47,4,iyr seems to be back on track indicates upcoming fed announcement will be favorable for realestateinvesting long bias trading daytrading options stocks optionstrading nq amzn ym dow cl ng aapl faang spx es iwm rty spy pic twitter com jvsqe g ze
27-04-19 22:23,4,amazing how out of date a month old article can be as the siliconbeach officespace soundstage wars continues goog aapl amzn nflx amazon
27-04-19 22:15,2,check april
27-04-19 21:47,4,phil schiller lays out apple s case for cracking down on screen time monitoring apps http bit ly vswlfg aapl
27-04-19 19:30,2,aapl mins volume profile chart earnings next week excepted move fri close so
27-04-19 16:43,2,estocks share price performance msft v amzn v goog v aapl v fb v nflx v twtr months https bit ly wcfqtj ab microsoft amazon google alphabet apple facebook netflix twitter u dc nyc mit q qanon maga wwg wga declas d redapril la ca crypto pic twitter com aouh lffe
27-04-19 14:35,2,aapl https twitter com misterknark st atus
27-04-19 10:04,4,stocks to watch eyes on apple
26-04-19 23:17,4,the experts are suggesting that aapl will drop post earnings release primarily due to the unrelenting performance my opinion is that in this type of tape apple has to miss by a mile before it allows lagging investors to buy the dip trading fangs
26-04-19 22:15,2,check april
26-04-19 18:23,2,aapl support and resistance pivots for mon fb amzn aapl goog tsla c bac celg ibb msft nflx nvda jnj stocks pivots markets daytrading watchlist charts aapl pic twitter com om vmzr fl
26-04-19 17:02,2,apple inc price at close
26-04-19 16:50,2,stop me if you ve heard this one before aapl https gizmodo com in its race to be first samsung screwed itself
26-04-19 16:15,2,aapl closes lower for the rd day in a row https techniquant com reports stock aapl daily technical analysis report for sentiment neutral aapl apple
26-04-19 15:48,2,my observations on this fri late afternoon rally trading daytrading options stocks optionstrading nq amzn ym dow cl ng aapl faang spx es iwm rty spy pic twitter com dikxrtrcm
26-04-19 15:16,4,elon any plans on partnering with aapl or googl i think partnering with cook would help speed up ev revolution
26-04-19 15:15,2,apple considered purchasing intel s smartphone modem chip business http bit ly puxgu aapl
